TWEET,LABEL
b'ai pop cron teh jenis genre musik baru? https://t.co/FATNiiVZk6',
"b'[\xf0\x9f\x93\x84]\n\n""Musik yang dibuat BTS selalu digolongkan sebagai K-pop, tetapi menghasilkan banyak genre yg berbeda, dan itu\xe2\x80\xa6 https://t.co/SmnaBXk55Z'",
"b'Musik ini mulai masuk Indonesia pada dekade 1950-an saat demam Elvis Presley, yang disusul The Beatles dan Rolling\xe2\x80\xa6 https://t.co/HJrqGIdd4d'",
"b's6e10: planet kopi senja intisari musik indie isinya orang-orang dengan nama ""janji jiwa/lain hati/cinta pertama"" d\xe2\x80\xa6 https://t.co/3IqIBW1YNj'",
b'Berkibarnya kembali musik #deathmetal seolah menginspirasi beberapa pesohor untuk ikut ambil bagian dalam industri\xe2\x80\xa6 https://t.co/IwUrIKuttp',
b'Berkibarnya kembali musik #deathmetal seolah menginspirasi beberapa pesohor untuk ikut ambil bagian dalam industri\xe2\x80\xa6 https://t.co/kn59neqJx7',
"b'Genre musik energic ngeneki sabi ternyata, mungkin genre musik saiki terlalu... Trus thats why mawang.. ash mbuhlah\nhttps://t.co/kvwzOuXqFK'",1
"b'1. film terakhir yang kalian nonton? 2. musik yg akhir"" ini didengerin? \xe2\x80\x94 1. Lupa judulnya, genre horor pokoknya.\n2\xe2\x80\xa6 https://t.co/CeA5kv3jwU'",
b'[Fakta Ayen] Genre musik Ayen sukai Pop dan Rock (sama kayak gua)',
b'Di sini aku berusaha senetral mungkin. Karena apa? Aku sayang semua idol Korea. Kita masih saudaraan sama yang lain\xe2\x80\xa6 https://t.co/fSWR8yo0yh',1
b'@nabilaf_ @askmenfess GENRE MUSIK KITA SAMA KAYAKNYA',
"b'BLUES, nama yg diberikan utk musik dan genre yg diciptakan dlm masyarakat Afrika-Amerika di Deep South akhir abad ke-19'",
b'@sacakinanti @vouzbae Saya keberatan bkalo disandarkan pada genre musik. Hip-hop terlalu mulia untuk beliau. \nYang\xe2\x80\xa6 https://t.co/vGhlE9CwHV',0
"b'Dari sekian banyak jenis musik, genre musik yang sering diperdengarkan nggak jauh-jauh dari aliran u... https://t.co/QrosZgEh6T'",
b'Rep wkwkw gue lg perlu nmbah genre baru dlm dngerin musik',
b'aku sedih banget sama temen- temen yang ngehina genre musik yang aku sukain. aku gatau kenapa mereka itu benci bang\xe2\x80\xa6 https://t.co/6H8HfpIG5e',1
b'@lovebobbybu Kpop kan cuma genre musik yaa :( suka sedih :(',1
"b'Ide yang pecah sih bang, sepengalaman gue sih disono kurang banget ada edukasi musik dalam jenis genre apapun bang.\xe2\x80\xa6 https://t.co/PF4RwAERaF'",0
"b'@jarfess Gini dulu, suka musik yg kek gmna genre gitu. Mau ngefanboy buat penyanyi solo atau grup (cewe/cowo)\nAtau\xe2\x80\xa6 https://t.co/VSXFUjwMA4'",
b'rock ballad adalah genre musik terbaik.',1
"b'@saturneun trus aku yg suka hijrah genre musik gmn,,,'",
"b'Dari sekian banyak jenis musik, genre musik yang sering diperdengarkan nggak jauh-jauh dari aliran u... https://t.co/UrCzoVeFpq'",
"b'Yaallah berikan lah aku jodoh yang aesthetic Yaallah,yang bisa moto aesthetic ,suka alam , absurd, suka seni ,suka\xe2\x80\xa6 https://t.co/WjrEJiGh4K'",1
"b'lagu pertama yg dikenalin almarhum sepupu yg ngenalin gw ke genre bangsat, sampe gw bsa berdiri sendiri di ranah mu\xe2\x80\xa6 https://t.co/4vZQhWg5jX'",0
b'@annasantoz318 Iya!\nSukanya genre musik apa?\nRock suka gak?',
"b""bisa gak sih gausah mendiskriminasikan orang berdasarkan genre musik? i mean, ya, i love kpop, tapi gausah kaya 'ya\xe2\x80\xa6 https://t.co/oPxHYmWbO0""",1
b'@ituterlupakan awamu ancen penikmat segala jenis genre musik po\xf0\x9f\x98\x86',1
"b'Dengerin musik sma temen yang beda genre, \nBesoknya ngumpul dia play musik yang samaan \n\nDalem ati ""lah genre gua bangsat""'",0
"b'dann jangan judge genre musik yang orang lain suka yah, itu dapat membuat suasana hati jadi tambah buruk:) https://t.co/GhE4tGCtDX'",1
"b'3. Genre musik favoritku sebenernya agak luas sih, pop, classic, EDM, trance, house, trap, rap, lagu2 thn 50-an kek\xe2\x80\xa6 https://t.co/gCa78stPPg'",
"b'MUR libatkan 68 Group Band dan Artis Ternama serta Legendaris dari berbagai Genre Musik, mulai Dangdut, Rock, Metal\xe2\x80\xa6 https://t.co/XiWn0IsmZr'",
"b'Genre musik aneh yang terakhir adalah 1 bit simphony, sebuah musik aneh dan cukup geek untuk para kawula muda seper\xe2\x80\xa6 https://t.co/ftvG0hVq4x'",
